City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,guozhen,34.3659,107.359,23.54000000000002,58,17,1.37,CN,1723579721
107,kapuskasing,49.4169,-82.4331,27.160000000000025,48,54,2.97,CA,1723579722
108,al ghayzah,16.2079,52.176,24.82000000000005,90,49,5.08,YE,1723579723
109,fort bragg,35.139,-79.006,26.910000000000025,74,100,2.06,US,1723579548
110,carnarvon,-24.8667,113.6333,17.860000000000014,62,0,4.56,AU,1723579725
111,blackmans bay,-43.0167,147.3167,13.740000000000009,76,100,2.46,AU,1723579727
112,upington,-28.4478,21.2561,13.439999999999998,26,89,7.54,ZA,1723579728
113,tolanaro,-25.0319,46.9987,20.900000000000034,91,20,5.61,MG,1723579729
114,tazovsky,67.4667,78.7,10.25,91,9,4.23,RU,1723579730
115,oxford,51.7522,-1.256,20.400000000000034,67,0,2.06,GB,1723579731
116,ungsang-nodongjagu,42.3578,130.4622,20.129999999999995,94,5,1.28,KP,1723579733
117,kishtwar,33.3167,75.7667,20.870000000000005,98,70,0.05,IN,1723579734
118,wailua homesteads,22.0669,-159.378,28.439999999999998,73,40,8.75,US,1723579735
119,longgang,37.6508,120.3286,26.260000000000048,88,100,2.15,CN,1723579736
120,miles city,46.4083,-105.8406,29.54000000000002,45,0,2.06,US,1723579738
121,la passe,45.5549,-0.8967,23.129999999999995,94,83,4.02,FR,1723579739
122,rongelap,11.1635,166.8941,28.060000000000002,78,100,7.35,MH,1723579740
123,lompoc,34.6391,-120.4579,27.689999999999998,62,0,3.13,US,1723579741
124,chishmy,54.5765,55.3764,13.129999999999995,97,33,4.22,RU,1723579742
125,hotan,37.0997,79.9269,28.850000000000023,24,1,4.95,CN,1723579744
126,atafu village,-8.5421,-172.5159,28.350000000000023,73,58,6.49,TK,1723579745
127,yeppoon,-23.1333,150.7333,18.470000000000027,94,2,2.74,AU,1723579746
128,tshabong,-26.05,22.45,17.28000000000003,15,36,6.62,BW,1723579747
129,lerwick,60.1545,-1.1494,14.0,91,86,12.13,GB,1723579748
130,nowy dwor gdanski,54.2131,19.1177,15.870000000000005,79,10,3.03,PL,1723579750
131,okahandja,-21.9833,16.9167,18.060000000000002,21,14,3.4,NA,1723579751
132,westport,41.1415,-73.3579,27.960000000000036,51,75,5.66,US,1723579752
133,malango,-2.9627,119.9001,17.920000000000016,99,55,0.96,ID,1723579753
134,nesterov,54.6306,22.5714,14.32000000000005,91,1,1.16,RU,1723579755
135,bamboo flat,11.7,92.7167,27.04000000000002,83,99,3.55,IN,1723579756
136,polewali,-3.4324,119.3435,24.210000000000036,87,46,1.32,ID,1723579757
137,udachny,66.4167,112.4,5.710000000000036,76,100,3.35,RU,1723579758
138,whitehorse,60.7161,-135.0538,11.010000000000048,90,98,2.24,CA,1723579761
139,margaret river,-33.95,115.0667,13.620000000000005,73,62,10.18,AU,1723579762
140,guajara,-2.9667,-57.6667,32.39000000000004,48,71,3.03,BR,1723579763
141,oranjemund,-28.55,16.4333,13.75,79,22,1.65,NA,1723579764
142,bredasdorp,-34.5322,20.0403,10.310000000000002,77,100,10.19,ZA,1723579766
143,constantia,44.1833,28.65,24.379999999999995,74,0,4.27,RO,1723579767
144,thal,35.4791,72.2439,16.900000000000034,90,53,1.28,PK,1723579768
145,shizuishan,39.2333,106.7694,24.77000000000004,44,100,1.61,CN,1723579769
146,selfoss,63.9331,-20.9971,10.020000000000039,85,100,4.45,IS,1723579770
147,iquique,-20.2208,-70.1431,17.02000000000004,71,13,1.72,CL,1723579772
148,port macquarie,-31.4333,152.9167,16.710000000000036,99,100,0.89,AU,1723579502
149,grootfontein,-19.5667,18.1167,19.28000000000003,14,0,1.2,NA,1723579774
150,georgetown,5.4112,100.3354,24.970000000000027,88,40,2.57,MY,1723579775
151,shimanovsk,52.0,127.7,18.30000000000001,71,0,1.61,RU,1723579776
152,gizo,-8.103,156.8419,27.350000000000023,79,100,3.82,SB,1723579778
153,badiyah,22.45,58.8,29.370000000000005,60,41,3.65,OM,1723579780
154,envira,-7.3,-70.2167,34.93000000000001,24,66,1.51,BR,1723579781
155,alice springs,-23.7,133.8833,6.75,65,0,2.06,AU,1723579782
156,dolyns'ka,48.1104,32.7645,17.680000000000007,41,0,3.9,UA,1723579784
157,crane,31.3974,-102.3501,35.54000000000002,27,0,8.45,US,1723579785
158,ilhabela,-23.7781,-45.3581,16.58000000000004,60,30,1.76,BR,1723579786
159,wakkanai,45.4094,141.6739,18.640000000000043,98,100,5.54,JP,1723579787
160,badger,64.8,-147.5333,13.53000000000003,72,75,0.0,US,1723579789
161,tyukhtet,56.5389,89.3011,13.200000000000045,95,0,2.57,RU,1723579790
162,nemuro,43.3236,145.575,18.55000000000001,100,100,3.77,JP,1723579791
163,kununurra,-15.7667,128.7333,13.990000000000009,77,2,2.06,AU,1723579792
164,glace bay,46.1969,-59.957,17.27000000000004,96,75,2.06,CA,1723579793
165,vyerkhnyadzvinsk,55.7815,27.9443,12.410000000000025,89,0,2.82,BY,1723579795
166,rumphi,-11.0186,33.8575,17.57000000000005,54,0,1.69,MW,1723579797
167,kone,-21.0595,164.8658,17.80000000000001,81,99,2.92,NC,1723579798
168,quellon,-43.1167,-73.6167,9.810000000000002,97,100,1.15,CL,1723579800
169,sola,-13.8833,167.55,25.430000000000007,75,100,12.31,VU,1723579801
170,cill airne,52.05,-9.5167,12.100000000000023,91,63,1.64,IE,1723579802
171,arraial do cabo,-22.9661,-42.0278,19.920000000000016,56,40,4.12,BR,1723579803
172,alta,69.9689,23.2717,17.590000000000032,79,0,1.03,NO,1723579804
